Gmt time,Open,High,Low,Close,Volume
08.06.2018 00:00:00.000,1.17931,1.18077,1.17915,1.18058,5539.0898
08.06.2018 01:00:00.000,1.18057,1.18102,1.18016,1.18020,5345.2002
08.06.2018 02:00:00.000,1.18020,1.18058,1.17970,1.17997,4651.1401
08.06.2018 03:00:00.000,1.17995,1.18002,1.17925,1.17986,4706.5098
08.06.2018 04:00:00.000,1.17986,1.18065,1.17957,1.18058,4522.4199
08.06.2018 05:00:00.000,1.18058,1.18103,1.18020,1.18052,5105.25
08.06.2018 06:00:00.000,1.18053,1.18094,1.17709,1.17776,17190.6895
08.06.2018 07:00:00.000,1.17778,1.17847,1.17666,1.17805,17375.0098
08.06.2018 08:00:00.000,1.17806,1.17852,1.17590,1.17640,24734.0898
08.06.2018 09:00:00.000,1.17640,1.17714,1.17621,1.17649,12137.3096
08.06.2018 10:00:00.000,1.17648,1.17648,1.17330,1.17363,14900.46
08.06.2018 11:00:00.000,1.17363,1.17511,1.17271,1.17476,14714.1904
08.06.2018 12:00:00.000,1.17476,1.17572,1.17363,1.17478,15582.8398
08.06.2018 13:00:00.000,1.17479,1.17699,1.17403,1.17574,17499.4199
08.06.2018 14:00:00.000,1.17576,1.17740,1.17516,1.17666,17459.9609
08.06.2018 15:00:00.000,1.17668,1.17743,1.17590,1.17735,14986.7197
08.06.2018 16:00:00.000,1.17733,1.17779,1.17673,1.17728,10942.4502
08.06.2018 17:00:00.000,1.17728,1.17774,1.17657,1.17666,8504.4102
08.06.2018 18:00:00.000,1.17665,1.17749,1.17650,1.17697,7673.48
08.06.2018 19:00:00.000,1.17698,1.17710,1.17648,1.17662,8459.9102
08.06.2018 20:00:00.000,1.17662,1.17720,1.17644,1.17666,4164.3198
08.06.2018 21:00:00.000,1.17666,1.17666,1.17666,1.17666,0
08.06.2018 22:00:00.000,1.17666,1.17666,1.17666,1.17666,0
08.06.2018 23:00:00.000,1.17666,1.17666,1.17666,1.17666,0
09.06.2018 00:00:00.000,1.17666,1.17666,1.17666,1.17666,0
09.06.2018 01:00:00.000,1.17666,1.17666,1.17666,1.17666,0
09.06.2018 02:00:00.000,1.17666,1.17666,1.17666,1.17666,0
09.06.2018 03:00:00.000,1.17666,1.17666,1.17666,1.17666,0
09.06.2018 04:00:00.000,1.17666,1.17666,1.17666,1.17666,0
09.06.2018 05:00:00.000,1.17666,1.17666,1.17666,1.17666,0
09.06.2018 06:00:00.000,1.17666,1.17666,1.17666,1.17666,0
09.06.2018 07:00:00.000,1.17666,1.17666,1.17666,1.17666,0
09.06.2018 08:00:00.000,1.17666,1.17666,1.17666,1.17666,0
09.06.2018 09:00:00.000,1.17666,1.17666,1.17666,1.17666,0
09.06.2018 10:00:00.000,1.17666,1.17666,1.17666,1.17666,0
09.06.2018 11:00:00.000,1.17666,1.17666,1.17666,1.17666,0
09.06.2018 12:00:00.000,1.17666,1.17666,1.17666,1.17666,0
09.06.2018 13:00:00.000,1.17666,1.17666,1.17666,1.17666,0
09.06.2018 14:00:00.000,1.17666,1.17666,1.17666,1.17666,0
09.06.2018 15:00:00.000,1.17666,1.17666,1.17666,1.17666,0
09.06.2018 16:00:00.000,1.17666,1.17666,1.17666,1.17666,0
09.06.2018 17:00:00.000,1.17666,1.17666,1.17666,1.17666,0
09.06.2018 18:00:00.000,1.17666,1.17666,1.17666,1.17666,0
09.06.2018 19:00:00.000,1.17666,1.17666,1.17666,1.17666,0
09.06.2018 20:00:00.000,1.17666,1.17666,1.17666,1.17666,0
09.06.2018 21:00:00.000,1.17666,1.17666,1.17666,1.17666,0
09.06.2018 22:00:00.000,1.17666,1.17666,1.17666,1.17666,0
09.06.2018 23:00:00.000,1.17666,1.17666,1.17666,1.17666,0
10.06.2018 00:00:00.000,1.17666,1.17666,1.17666,1.17666,0
10.06.2018 01:00:00.000,1.17666,1.17666,1.17666,1.17666,0
10.06.2018 02:00:00.000,1.17666,1.17666,1.17666,1.17666,0
10.06.2018 03:00:00.000,1.17666,1.17666,1.17666,1.17666,0
10.06.2018 04:00:00.000,1.17666,1.17666,1.17666,1.17666,0
10.06.2018 05:00:00.000,1.17666,1.17666,1.17666,1.17666,0
10.06.2018 06:00:00.000,1.17666,1.17666,1.17666,1.17666,0
10.06.2018 07:00:00.000,1.17666,1.17666,1.17666,1.17666,0
10.06.2018 08:00:00.000,1.17666,1.17666,1.17666,1.17666,0
10.06.2018 09:00:00.000,1.17666,1.17666,1.17666,1.17666,0
10.06.2018 10:00:00.000,1.17666,1.17666,1.17666,1.17666,0
10.06.2018 11:00:00.000,1.17666,1.17666,1.17666,1.17666,0
10.06.2018 12:00:00.000,1.17666,1.17666,1.17666,1.17666,0
10.06.2018 13:00:00.000,1.17666,1.17666,1.17666,1.17666,0
10.06.2018 14:00:00.000,1.17666,1.17666,1.17666,1.17666,0
10.06.2018 15:00:00.000,1.17666,1.17666,1.17666,1.17666,0
10.06.2018 16:00:00.000,1.17666,1.17666,1.17666,1.17666,0
10.06.2018 17:00:00.000,1.17666,1.17666,1.17666,1.17666,0
10.06.2018 18:00:00.000,1.17666,1.17666,1.17666,1.17666,0
10.06.2018 19:00:00.000,1.17666,1.17666,1.17666,1.17666,0
10.06.2018 20:00:00.000,1.17666,1.17666,1.17666,1.17666,0
10.06.2018 21:00:00.000,1.17736,1.17754,1.17722,1.17745,948.53
10.06.2018 22:00:00.000,1.17745,1.17749,1.17710,1.17713,2422.1399
10.06.2018 23:00:00.000,1.17713,1.17857,1.17713,1.17845,3274.45
11.06.2018 00:00:00.000,1.17845,1.17999,1.17799,1.17980,5821.5298
11.06.2018 01:00:00.000,1.17980,1.18077,1.17956,1.18033,6775.8101
11.06.2018 02:00:00.000,1.18033,1.18058,1.17936,1.17970,5364.5801
11.06.2018 03:00:00.000,1.17970,1.17972,1.17915,1.17929,3541.03
11.06.2018 04:00:00.000,1.17929,1.17994,1.17903,1.17985,3631.1399
11.06.2018 05:00:00.000,1.17985,1.17993,1.17921,1.17940,4709.6899
11.06.2018 06:00:00.000,1.17940,1.18157,1.17886,1.18075,14492.8096
11.06.2018 07:00:00.000,1.18074,1.18205,1.18007,1.18025,12616.7695
11.06.2018 08:00:00.000,1.18024,1.18135,1.17838,1.17841,12675.3203
